Name,ID,Condition,Trial,Peek,Location,Choice,peek_while_push,,,,,,,peek_push,down_push
Kidogo,9,control,6,np,L,n,N/A,,,,,,,,
Kidogo,9,control,7,np,L,y,N/A,,,,,,,,
Kidogo,9,control,8,np,R,n,N/A,,,,,,,,
Kidogo,9,control,9,np,R,y,N/A,,,,,,,,
Kidogo,9,control,10,np,L,y,N/A,,,,,,,,
Kidogo,9,control,11,np,L,y,N/A,,,,,,,,
Kidogo,9,control,12,np,R,y,N/A,,,,,,,,
Kidogo,9,test,1,np,L,n,N/A,,,,,,,,
Kidogo,9,test,2,np,R,y,N/A,,,,,,,,
Kidogo,9,test,3,np,L,n,N/A,,,,,,,,
Kidogo,9,test,4,np,R,y,N/A,,,,,,,,
Kidogo,9,test,5,np,R,n,N/A,,,,,,,,
Kidogo,9,test,6,np,L,n,N/A,,,,,,,,
Kidogo,9,test,7,np,L,y,N/A,,,,,,,,
Kidogo,9,test,8,p,R,y,0,,,,,,,,
Kidogo,9,test,9,p,R,y,0,,,,,,,,
Kidogo,9,test,10,p,L,y,0,,,,,,,,
Kidogo,9,test,11,np,L,n,N/A,,,,,,,,
Kidogo,9,test,12,np,R,n,N/A,,,,,,,,
Namukhisa,10,control,1,p,L,n,N/A,,,,,,,,
Namukhisa,10,control,2,p,R,n,N/A,,,,,,,,
Namukhisa,10,control,3,p,R,y,N/A,,,,,,,,
Namukhisa,10,control,4,p,L,n,N/A,,,,,,,,
Namukhisa,10,control,5,p,L,n,N/A,,,,,,,,
Namukhisa,10,control,6,p,R,y,N/A,,,,,,,,
Namukhisa,10,control,7,np,L,n,N/A,,,,,,,,
Namukhisa,10,control,8,np,R,y,N/A,,,,,,,,
Namukhisa,10,control,9,p,L,y,N/A,,,,,,,,
Namukhisa,10,control,10,np,R,y,N/A,,,,,,,,
Namukhisa,10,control,11,p,R,n,N/A,,,,,,,,
Namukhisa,10,control,12,p,L,y,N/A,,,,,,,,
Namukhisa,10,test,1,np,L,n,N/A,,,,,,,,
Namukhisa,10,test,2,np,R,y,N/A,,,,,,,,
Namukhisa,10,test,3,p,R,n,0,,,,,,,,
Namukhisa,10,test,4,p,L,y,0,,,,,,,,
Namukhisa,10,test,5,np,L,n,N/A,,,,,,,,
Namukhisa,10,test,6,p,R,n,0,,,,,,,,
Namukhisa,10,test,7,np,L,y,N/A,,,,,,,,
Namukhisa,10,test,8,p,R,n,1,,,,,,,,
Namukhisa,10,test,9,p,L,y,0,,,,,,,,
Namukhisa,10,test,10,p,R,n,1,,,,,,,,
Namukhisa,10,test,11,p,R,n,0,,,,,,,,
Namukhisa,10,test,12,p,L,y,0,,,,,,,,
