Name,ID,Condition,Trial,Peek
Nakuu,11,control,9,lp
Nakuu,11,control,10,lp
Nakuu,11,control,11,lp
Nakuu,11,control,12,lp
Nakuu,11,test,1,lp
Nakuu,11,test,2,lp
Nakuu,11,test,3,lp
Nakuu,11,test,4,lp
Nakuu,11,test,5,lp
Nakuu,11,test,6,lp
Nakuu,11,test,7,hp
Nakuu,11,test,8,lp
Nakuu,11,test,9,hp
Nakuu,11,test,10,lp
Nakuu,11,test,11,lp
Nakuu,11,test,12,lp
Minnie,12,test,1,hp
Minnie,12,test,2,hp
Minnie,12,test,3,lp
Minnie,12,test,4,lp
Minnie,12,test,5,lp
Minnie,12,test,6,hp
Minnie,12,test,7,hp
Minnie,12,test,8,hp
Minnie,12,test,9,hp
Minnie,12,test,10,lp
Minnie,12,test,11,hp
Minnie,12,test,12,lp
Minnie,12,control,1,lp
Minnie,12,control,2,hp
Minnie,12,control,3,lp
Minnie,12,control,4,lp
Minnie,12,control,5,hp
Minnie,12,control,6,lp
Minnie,12,control,7,hp
Minnie,12,control,8,lp
Minnie,12,control,9,lp
Minnie,12,control,10,lp
Minnie,12,control,11,lp
Minnie,12,control,12,lp
